run_id,suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high,evidence_type,source_file
expanded-analysis-6df6bfb,scaling,,B5,accuracy,5.0,,,5,0.7820185922974767,0.7657503320053122,0.7995252324037184,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,macro_f1,5.0,,,5,0.5604155138571525,0.483672314583543,0.6444845708219112,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,demographic_parity_gap,5.0,,,5,0.0569136321757123,0.0166809933465137,0.1046142767870415,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equal_opportunity_gap,5.0,,,5,0.0735309322075044,0.0181412514544589,0.1431522330835785,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equalized_odds_gap,5.0,,,5,0.0735309322075044,0.0181412514544589,0.1416747255735152,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,subgroup_accuracy_gap,5.0,,,5,0.1652879227362653,0.1453065863016586,0.1850472950938926,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,runtime_ms,5.0,,,5,58.224725001491606,54.86862292164005,61.372925410978496,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,accuracy,5.0,,,5,0.7765338645418327,0.7650863213811421,0.7879814077025232,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,macro_f1,5.0,,,5,0.5388064696895636,0.4799970863070653,0.6021922981558079,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,demographic_parity_gap,5.0,,,5,0.0448778209656538,0.0147627674929001,0.0894695442896203,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equal_opportunity_gap,5.0,,,5,0.0590885333513075,0.0086892247512496,0.1377040883648425,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equalized_odds_gap,5.0,,,5,0.0602030312636197,0.0109182205758739,0.1387957965351174,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,subgroup_accuracy_gap,5.0,,,5,0.1725823996051047,0.1579960214803711,0.1852225049757572,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,runtime_ms,5.0,,,5,43.28470821492374,40.191449818667024,46.377966611180454,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,accuracy,10.0,,,5,0.7713147410358565,0.7704382470119521,0.7724435590969456,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,macro_f1,10.0,,,5,0.5091316867366303,0.5051000671605718,0.5144272858567878,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,demographic_parity_gap,10.0,,,5,0.0242534879746857,0.0231913164292752,0.0255157308870412,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equal_opportunity_gap,10.0,,,5,0.0285636600327534,0.025268542959162,0.0311998222375561,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equalized_odds_gap,10.0,,,5,0.0285636600327534,0.025268542959162,0.0311998222375561,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,subgroup_accuracy_gap,10.0,,,5,0.1800868571305693,0.1794505844485011,0.1807231298126376,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,runtime_ms,10.0,,,5,54.65780841186643,52.75013342034072,56.565483403392136,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,accuracy,10.0,,,5,0.7557901726427623,0.7543293492695884,0.7585126162018592,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,macro_f1,10.0,,,5,0.4369312523578972,0.4300345844417214,0.449445797040113,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,demographic_parity_gap,10.0,,,5,0.0020541235372689,1.971025918990835e-05,0.0055119320585399,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equal_opportunity_gap,10.0,,,5,0.0029454185899987,6.363347120584e-05,0.00724541898985,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equalized_odds_gap,10.0,,,5,0.0029454185899987,6.363347120584e-05,0.00724541898985,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,subgroup_accuracy_gap,10.0,,,5,0.1949112226938138,0.1923206655768988,0.1963543281961957,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,runtime_ms,10.0,,,5,79.30303321918473,75.70594160351902,83.95949142286554,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,accuracy,10.0,,,5,0.792788844621514,0.7748472775564409,0.8103054448871182,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,macro_f1,10.0,,,5,0.6160198649204706,0.5253184130155933,0.6918494068837683,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,demographic_parity_gap,10.0,,,5,0.096907673763958,0.0413706826363227,0.1641478007866089,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equal_opportunity_gap,10.0,,,5,0.117912136685153,0.0524948719076503,0.1896890928003353,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equalized_odds_gap,10.0,,,5,0.117912136685153,0.052158082907444,0.1896890928003353,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,subgroup_accuracy_gap,10.0,,,5,0.1535322034162135,0.1336097129172465,0.174603541656357,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,runtime_ms,10.0,,,5,56.76957459654659,52.76474140118808,61.76269939169288,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,accuracy,20.0,,,5,0.770066401062417,0.7653120849933599,0.7733622177954848,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,macro_f1,20.0,,,5,0.5031923217814016,0.4810216596347157,0.5192552670770864,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,demographic_parity_gap,20.0,,,5,0.0221350824339565,0.014522774125304,0.0267985787029586,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equal_opportunity_gap,20.0,,,5,0.0247546769744511,0.0150093879362591,0.0322679963053744,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equalized_odds_gap,20.0,,,5,0.0247546769744511,0.0150093879362591,0.0322679963053744,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,subgroup_accuracy_gap,20.0,,,5,0.181456272822082,0.1787332882788287,0.1860353836663331,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,runtime_ms,20.0,,,5,77.53382481168956,71.25279981410131,83.8148498092778,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,accuracy,20.0,,,5,0.7579946879150066,0.7543293492695884,0.7629747675962815,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
