evidence_type,mode,concurrency,repetition,transaction_count,elapsed_ms,transactions_per_second,median_latency_ms,p95_latency_ms,failure_count,failure_rate,total_gas
measured_hardhat,concurrent,20,7,20,27.00737500000014,740.5384640306545,27.00737500000014,27.00737500000014,0,0,9812326
measured_hardhat,concurrent,20,8,20,22.523249999999734,887.971318526422,22.523249999999734,22.523249999999734,0,0,9812326
measured_hardhat,concurrent,20,9,20,23.473250000000007,852.033697932753,23.473250000000007,23.473250000000007,0,0,9812350
measured_hardhat,concurrent,20,10,20,24.730375000000095,808.7220674979624,24.730375000000095,24.730375000000095,0,0,10933732
measured_hardhat,concurrent,20,11,20,22.757208999999875,878.8423923162154,22.757208999999875,22.757208999999875,0,0,10933720
measured_hardhat,concurrent,20,12,20,25.265333000000282,791.5985116839654,25.265333000000282,25.265333000000282,0,0,10933744
measured_hardhat,concurrent,20,13,20,25.29137499999979,790.7834192486634,25.29137499999979,25.29137499999979,0,0,10933756
measured_hardhat,concurrent,20,14,20,27.93729200000007,715.8889988335286,27.93729200000007,27.93729200000007,0,0,10933708
measured_hardhat,concurrent,20,15,20,25.513374999999996,783.9025609116787,25.513374999999996,25.513374999999996,0,0,10933756
measured_hardhat,concurrent,20,16,20,23.26608299999998,859.6204182715251,23.26608299999998,23.26608299999998,0,0,10933684
measured_hardhat,concurrent,20,17,20,26.206500000000233,763.1694426955077,26.206500000000233,26.206500000000233,0,0,10933744
measured_hardhat,concurrent,20,18,20,23.159166999999798,863.5889192387694,23.159166999999798,23.159166999999798,0,0,10933756
