batch_size,repetition,operation,gas_used
10,18,submit_model,466613
10,18,register_node,47874
10,18,submit_model,466613
10,18,register_node,47874
10,18,submit_model,466613
10,18,register_node,47874
10,18,submit_model,466601
10,18,register_node,47874
10,18,submit_model,466613
10,18,register_node,47874
10,18,submit_model,466613
10,18,close_submissions,30614
10,18,start_aggregation,30757
10,18,publish_global_model,478783
10,18,archive_round,30919
10,19,create_round,47576
10,19,register_node,47874
10,19,submit_model,483713
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47862
10,19,submit_model,466601
10,19,register_node,47874
10,19,submit_model,466613
10,19,register_node,47874
10,19,submit_model,466613
10,19,close_submissions,30614
10,19,start_aggregation,30757
10,19,publish_global_model,478783
10,19,archive_round,30919
10,20,create_round,47576
10,20,register_node,47874
10,20,submit_model,483713
10,20,register_node,47874
10,20,submit_model,466613
10,20,register_node,47874
10,20,submit_model,466613
10,20,register_node,47874
10,20,submit_model,466613
10,20,register_node,47874
10,20,submit_model,466601
10,20,register_node,47874
10,20,submit_model,466601
10,20,register_node,47874
10,20,submit_model,466613
10,20,register_node,47874
10,20,submit_model,466613
10,20,register_node,47874
10,20,submit_model,466613
10,20,register_node,47862
10,20,submit_model,466601
10,20,close_submissions,30614
10,20,start_aggregation,30757
