suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high
adversarial,,B0,macro_f1,,,none,5,0.527004502093376,0.5162136317543097,0.5380235385914853
adversarial,,B0,demographic_parity_gap,,,none,5,0.03000144166123342,0.026262145123312562,0.03383285046274074
adversarial,,B0,equal_opportunity_gap,,,none,5,0.032500252763114926,0.027459385108739482,0.03754112041749036
adversarial,,B0,equalized_odds_gap,,,none,5,0.032500252763114926,0.027459385108739482,0.03754112041749036
adversarial,,B0,subgroup_accuracy_gap,,,none,5,0.17634498497970327,0.17354315939969042,0.17908510416920115
adversarial,,B0,runtime_ms,,,none,5,82.86353340372443,78.78615839290433,87.44971681735478
adversarial,,B6,accuracy,,,none,5,0.7687782204515272,0.7587118193891103,0.7819654714475431
adversarial,,B6,macro_f1,,,none,5,0.5221285284038968,0.4498838696087928,0.6337768075261827
adversarial,,B6,demographic_parity_gap,,,none,5,0.03725526637123472,0.0059177275005916396,0.08749303275636032
adversarial,,B6,equal_opportunity_gap,,,none,5,0.0157253501697368,0.00555404817979134,0.030317750368291495
adversarial,,B6,equalized_odds_gap,,,none,5,0.02518118874241096,0.01099522406236306,0.04002603589137506
adversarial,,B6,subgroup_accuracy_gap,,,none,5,0.1662092900954784,0.12198622043062439,0.19148124443266917
adversarial,,B6,runtime_ms,,,none,5,80.54880860145204,78.61605040961877,82.50152539112605
adversarial,,B0,accuracy,,,random_weights,5,0.6439442231075697,0.5110756972111553,0.7301593625498007
adversarial,,B0,macro_f1,,,random_weights,5,0.5390674631097035,0.44656414814506434,0.6221940297025773
adversarial,,B0,demographic_parity_gap,,,random_weights,5,0.06704631415445138,0.023064966968064798,0.13519446910789973
adversarial,,B0,equal_opportunity_gap,,,random_weights,5,0.07808763711327955,0.021277798944506897,0.13721695529263114
adversarial,,B0,equalized_odds_gap,,,random_weights,5,0.09184259959633945,0.0487877239106267,0.14267915192691172
adversarial,,B0,subgroup_accuracy_gap,,,random_weights,5,0.1064378829657124,0.08380961077132568,0.13235286194227175
adversarial,,B0,runtime_ms,,,random_weights,5,80.98736699903384,78.36831720196642,83.45876699313521
adversarial,,B6,accuracy,,,random_weights,5,0.7724568393094289,0.7592961487383798,0.7902390438247011
adversarial,,B6,macro_f1,,,random_weights,5,0.5276234672740073,0.4521812842502742,0.6352539269009534
adversarial,,B6,demographic_parity_gap,,,random_weights,5,0.038275590224072474,0.0063003424261363,0.08452262628833049
adversarial,,B6,equal_opportunity_gap,,,random_weights,5,0.028237952624480783,0.010745259906172,0.05109630645971121
adversarial,,B6,equalized_odds_gap,,,random_weights,5,0.028269599319442885,0.010745259906172,0.0511912465445975
