suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,policy_profile,attack_type
scaling,,B0,demographic_parity_gap,5,0.02425348797468576,0.0014641789103404831,0.023735476847757,0.02319131642927528,0.025515730887041222,0.0225657393610887,0.0263062153853115,10.0,,
scaling,,B0,equal_opportunity_gap,5,0.028563660032753478,0.0037128055822576067,0.0291817158302825,0.025268542959162022,0.03119982223755614,0.0225915959263154,0.0324770613903056,10.0,,
scaling,,B0,equalized_odds_gap,5,0.028563660032753478,0.0037128055822576067,0.0291817158302825,0.025268542959162022,0.03119982223755614,0.0225915959263154,0.0324770613903056,10.0,,
scaling,,B0,subgroup_accuracy_gap,5,0.18008685713056932,0.0008220110749724105,0.1800898259056153,0.1794505844485011,0.1807231298126376,0.179070151973801,0.1810753388651107,10.0,,
scaling,,B0,runtime_ms,5,54.65780841186643,2.606061435516259,55.47883303370327,52.75013342034072,56.565483403392136,51.18350003613159,57.84062499878928,10.0,,
scaling,,B5,accuracy,5,0.7557901726427623,0.0030054825574773215,0.7543824701195219,0.7543293492695884,0.7585126162018592,0.7543160690571049,0.7611553784860557,10.0,,
scaling,,B5,macro_f1,5,0.4369312523578972,0.01374262589870853,0.4302637624811281,0.43003458444172143,0.44944579704011306,0.4299772899318698,0.4614068879120387,10.0,,
scaling,,B5,demographic_parity_gap,5,0.002054123537268968,0.0037643054070101976,9.855129594954174e-05,1.971025918990835e-05,0.005511932058539941,0.0,0.0086937969511522,10.0,,
scaling,,B5,equal_opportunity_gap,5,0.00294541858999876,0.004689903838524593,0.0003181673560292,6.363347120584e-05,0.00724541898985,0.0,0.0109090846776427,10.0,,
scaling,,B5,equalized_odds_gap,5,0.00294541858999876,0.004689903838524593,0.0003181673560292,6.363347120584e-05,0.00724541898985,0.0,0.0109090846776427,10.0,,
scaling,,B5,subgroup_accuracy_gap,5,0.19491122269381383,0.002844767860801205,0.1962754871594361,0.1923206655768988,0.1963543281961957,0.1898483700151232,0.1963740384553856,10.0,,
scaling,,B5,runtime_ms,5,79.30303321918473,5.145803248655452,78.49291700404137,75.70594160351902,83.95949142286554,73.84795800317079,87.81158301280811,10.0,,
scaling,,B6,accuracy,5,0.792788844621514,0.022287850680270803,0.7899070385126162,0.7748472775564409,0.8103054448871182,0.7592961487383798,0.8183930942895087,10.0,,
scaling,,B6,macro_f1,5,0.6160198649204706,0.1060171586576384,0.6166286064516375,0.5253184130155933,0.6918494068837683,0.4525589770495535,0.7419966071718556,10.0,,
scaling,,B6,demographic_parity_gap,5,0.096907673763958,0.07683099761429278,0.0941742383301715,0.04137068263632276,0.16414780078660898,0.0061572193859165,0.2182660464146715,10.0,,
scaling,,B6,equal_opportunity_gap,5,0.11791213668515307,0.09092608336404656,0.0910467020554068,0.0524948719076503,0.18968909280033538,0.0088635598985748,0.2554506866302878,10.0,,
scaling,,B6,equalized_odds_gap,5,0.11791213668515307,0.09092608336404656,0.0910467020554068,0.05215808290744408,0.18968909280033538,0.0088635598985748,0.2554506866302878,10.0,,
scaling,,B6,subgroup_accuracy_gap,5,0.15353220341621351,0.02538349030551848,0.1550236357621128,0.1336097129172465,0.17460354165635705,0.122418542278897,0.1913994346208637,10.0,,
scaling,,B6,runtime_ms,5,56.76957459654659,5.9037252861428495,54.748374968767166,52.764741401188076,61.76269939169288,51.55858298530802,66.34654098888859,10.0,,
scaling,,B0,accuracy,5,0.770066401062417,0.0051736186550331836,0.7713811420982736,0.7653120849933599,0.7733622177954848,0.7612217795484728,0.7748339973439575,20.0,,
