suite,method,metric,n,mean,std,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
threshold,B3,equal_opportunity_gap,10,0.01188866313160072,0.007866120925614888,0.006261579204261754,0.017515747058939688,0.0040002262015673,0.0277062646981037,,,moderate,
threshold,B3,equalized_odds_gap,10,0.02546640680913323,0.04619152419594484,-0.007577019021746963,0.05850983264001342,0.0040002262015673,0.1552302003472763,,,moderate,
threshold,B3,subgroup_accuracy_gap,10,0.1711903951461651,0.052140433557395775,0.13389137592057745,0.20848941437175275,0.0245769841582351,0.1920892936925105,,,moderate,
threshold,B3,runtime_ms,10,71.70650019834284,3.086387097197311,69.49863187386399,73.91436852282169,66.19695900008082,75.59475000016391,,,moderate,
threshold,B3,accuracy,10,0.5006772908366534,0.268787851424066,0.3083980450794308,0.6929565365938759,0.2456839309428951,0.7576361221779548,,,strict,
threshold,B3,macro_f1,10,0.3165007580205921,0.12577275816358452,0.2265283468852936,0.40647316915589055,0.197228144989339,0.4441259006446719,,,strict,
threshold,B3,demographic_parity_gap,10,0.0007937581745371,0.001115150666580865,-3.972555999311785e-06,0.0015914889050735119,0.0,0.0031150072762068,,,strict,
threshold,B3,equal_opportunity_gap,10,0.0017658573867663698,0.002238661883810723,0.0001644151480490717,0.003367299625483668,0.0,0.0061588517642865,,,strict,
threshold,B3,equalized_odds_gap,10,0.0017658573867663698,0.002238661883810723,0.0001644151480490717,0.003367299625483668,0.0,0.0061588517642865,,,strict,
threshold,B3,subgroup_accuracy_gap,10,0.19558028028084845,0.0011151506665809034,0.19478254955031202,0.19637801101138488,0.1932590311791787,0.1963740384553856,,,strict,
threshold,B3,runtime_ms,10,71.12791249819566,3.02068766735156,68.9670427145753,73.28878228181601,65.49416700727306,75.8444580133073,,,strict,
threshold,B3,accuracy,10,0.7599933598937583,0.0019638581169575584,0.7585885004274462,0.7613982193600703,0.7562416998671979,0.7638778220451528,,,submitted,
threshold,B3,macro_f1,10,0.4551151721585905,0.009051252140671658,0.44864029643207926,0.4615900478851017,0.4382266584274308,0.4730672907624917,,,submitted,
threshold,B3,demographic_parity_gap,10,0.00626988239297947,0.002579570674850181,0.004424568696285985,0.008115196089672955,0.0022538017421133,0.0121173361799339,,,submitted,
threshold,B3,equal_opportunity_gap,10,0.00681375099891407,0.00394655044421228,0.003990558883885222,0.009636943113942918,0.0033638914895087,0.0164544503730326,,,submitted,
threshold,B3,equalized_odds_gap,10,0.00681375099891407,0.00394655044421228,0.003990558883885222,0.009636943113942918,0.0033638914895087,0.0164544503730326,,,submitted,
