suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count
scaling,,B5,subgroup_accuracy_gap,5,0.14527345637688965,0.045552055806100035,0.1136810963108536,0.11168924884795976,0.1788597380364934,0.1111355723018985,0.1963740384553856,3.0
scaling,,B5,runtime_ms,5,51.33207499748096,4.345162069003431,54.469749971758574,47.946625004988164,54.496333200950176,46.02800001157448,54.513500013854355,3.0
scaling,,B6,accuracy,5,0.776148738379814,0.01649544595923186,0.7797476759628154,0.7627755644090305,0.7882735723771581,0.7553120849933599,0.797742363877822,3.0
scaling,,B6,macro_f1,5,0.5385676756216312,0.08525237651728929,0.5468134883688904,0.472590709380926,0.6029890554874842,0.4342592340096279,0.6515898108538913,3.0
scaling,,B6,demographic_parity_gap,5,0.04011455379581856,0.03483993241987175,0.0337336893643493,0.01300250855473586,0.06722659903690127,0.0014782694392431,0.0836564300026733,3.0
scaling,,B6,equal_opportunity_gap,5,0.0479908331243634,0.0438303153054874,0.0279101888383235,0.01459102927996494,0.0825078213761623,0.004772510340439,0.1026338202188785,3.0
scaling,,B6,equalized_odds_gap,5,0.0479908331243634,0.0438303153054874,0.0279101888383235,0.01459102927996494,0.0825078213761623,0.004772510340439,0.1026338202188785,3.0
scaling,,B6,subgroup_accuracy_gap,5,0.1703747422556644,0.02308333301304426,0.1719209805960261,0.15110919754391633,0.18689995113757332,0.135244513026714,0.1948957690161424,3.0
scaling,,B6,runtime_ms,5,38.81623318884522,4.021708411365052,37.35304204747081,35.67897479515523,41.95349158253521,34.85125000588596,43.395624961704016,3.0
scaling,,B0,accuracy,5,0.7707436918990703,0.0008433196344412739,0.7707171314741036,0.7700796812749003,0.7714077025232404,0.7697211155378486,0.7716467463479416,5.0
scaling,,B0,macro_f1,5,0.5063454257773574,0.003972569038431656,0.5059314950480023,0.5032220809543998,0.5094687706003153,0.5015904458504634,0.5105972421663307,5.0
scaling,,B0,demographic_parity_gap,5,0.023581658193655604,0.0015420828009380066,0.0230456177761102,0.02238834702837952,0.02475826307884313,0.021882319321805,0.0253058585505866,5.0
scaling,,B0,equal_opportunity_gap,5,0.029818050542341063,0.003039407316507074,0.0281135417624643,0.02752267585029794,0.03215432430564396,0.027068216337808,0.0334315634583934,5.0
scaling,,B0,equalized_odds_gap,5,0.029818050542341063,0.003039407316507074,0.0281135417624643,0.02752267585029794,0.03211342523438418,0.027068216337808,0.0334315634583934,5.0
scaling,,B0,subgroup_accuracy_gap,5,0.18033021243531203,0.0010453639060245814,0.1807925630419882,0.17952595522794362,0.1811344696426804,0.1791107519784829,0.1813645537205962,5.0
scaling,,B0,runtime_ms,5,45.5807916005142,4.998291795046447,46.89383303048089,41.96393339661881,49.23011660575867,39.54504197463393,52.34275001566857,5.0
scaling,,B5,accuracy,5,0.7820185922974767,0.021779720548019747,0.7791500664010624,0.7657503320053122,0.7995252324037184,0.7543160690571049,0.8108233731739708,5.0
scaling,,B5,macro_f1,5,0.5604155138571525,0.10329486310965601,0.5456728592359705,0.483672314583543,0.6444845708219112,0.4299772899318698,0.6979977169958171,5.0
scaling,,B5,demographic_parity_gap,5,0.056913632175712305,0.058358846552013975,0.0341343335805106,0.01668099334651372,0.10461427678704158,0.0,0.148636436606593,5.0
scaling,,B5,equal_opportunity_gap,5,0.07353093220750448,0.08112224426022199,0.0332042194589327,0.0181412514544589,0.14315223308357855,0.0,0.2013371025978336,5.0
scaling,,B5,equalized_odds_gap,5,0.07353093220750448,0.08112224426022199,0.0332042194589327,0.0181412514544589,0.1416747255735152,0.0,0.2013371025978336,5.0
scaling,,B5,subgroup_accuracy_gap,5,0.16528792273626539,0.02681354819746232,0.1725058493393603,0.14530658630165866,0.18504729509389262,0.1279136245331225,0.1963740384553856,5.0
scaling,,B5,runtime_ms,5,58.224725001491606,4.180130065833573,59.645375004038215,54.86862292164005,61.372925410978496,52.37329099327326,62.33054201584309,5.0
scaling,,B6,accuracy,5,0.7765338645418327,0.014792511489962077,0.7760292164674635,0.7650863213811421,0.7879814077025232,0.7592961487383798,0.7952855245683931,5.0
scaling,,B6,macro_f1,5,0.5388064696895636,0.07880902815330745,0.5297209428444549,0.47999708630706533,0.6021922981558079,0.4510689161520778,0.6505065350300432,5.0
scaling,,B6,demographic_parity_gap,5,0.04487782096565384,0.050486499926238076,0.0333484306242706,0.014762767492900161,0.08946954428962037,0.004974603834522,0.1322631608054455,5.0
scaling,,B6,equal_opportunity_gap,5,0.05908853335130756,0.08805387164103395,0.0265449824094008,0.008689224751249641,0.13770408836484252,0.0014960149110245,0.2132886566197374,5.0
scaling,,B6,equalized_odds_gap,5,0.0602030312636197,0.0871735509489099,0.0265449824094008,0.010918220575873919,0.13879579653511748,0.0069545557623992,0.2132886566197374,5.0
scaling,,B6,subgroup_accuracy_gap,5,0.17258239960510474,0.017479868888462296,0.1744189239670833,0.15799602148037115,0.1852225049757572,0.1464432339821396,0.1913994346208637,5.0
scaling,,B6,runtime_ms,5,43.28470821492374,4.02580606290133,43.28183300094679,40.191449818667024,46.377966611180454,37.848291045520455,47.368291998282075,5.0
scaling,,B0,accuracy,5,0.7713147410358565,0.0013338186870253009,0.7707835325365205,0.7704382470119521,0.7724435590969456,0.7701195219123506,0.7735059760956176,10.0
scaling,,B0,macro_f1,5,0.5091316867366303,0.006273436181883803,0.5067976142368009,0.5051000671605718,0.5144272858567878,0.5034990090115348,0.5195639808045415,10.0
