scenario_id,seed,client_count,partition,policy_profile,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
threshold_sensitivity,7002,10,joint_dirichlet_0.3,submitted,B3,5,updated,4,6,0.4,0.7524861878453039,0.4345754228188758,0.001962708537782139,0.006256517205422315,0.006256517205422315,0.1979833214340786
threshold_sensitivity,7002,10,joint_dirichlet_0.3,moderate,B3,1,updated,1,9,0.1,0.7703867403314917,0.526972186339842,0.022824508721217843,0.0014236386455452055,0.004521710585609515,0.1805616091714286
threshold_sensitivity,7002,10,joint_dirichlet_0.3,moderate,B3,2,updated,1,9,0.1,0.7721546961325967,0.5372416207233702,0.025987838694237285,0.00015610072867820735,0.005367653685769325,0.17794466445438573
threshold_sensitivity,7002,10,joint_dirichlet_0.3,moderate,B3,3,updated,1,9,0.1,0.7739226519337017,0.545472219612011,0.030213411128610892,0.005638358319856651,0.0072742313788103155,0.1763360367370549
threshold_sensitivity,7002,10,joint_dirichlet_0.3,moderate,B3,4,updated,1,9,0.1,0.7752486187845304,0.5537432504021177,0.03272250492236962,0.005132591958939253,0.008120174478970127,0.17437332819927276
threshold_sensitivity,7002,10,joint_dirichlet_0.3,moderate,B3,5,updated,1,9,0.1,0.7770165745856353,0.562113223471416,0.035585679536579734,0.004626825598021911,0.009258112663940403,0.17276470048194204
threshold_sensitivity,7002,10,joint_dirichlet_0.3,strict,B3,1,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7002,10,joint_dirichlet_0.3,strict,B3,2,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7002,10,joint_dirichlet_0.3,strict,B3,3,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7002,10,joint_dirichlet_0.3,strict,B3,4,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7002,10,joint_dirichlet_0.3,strict,B3,5,skipped_no_eligible_clients,0,10,0.0,0.24883977900552487,0.19925676871350204,0.0,0.0,0.0,0.19994602997186073
threshold_sensitivity,7003,10,joint_dirichlet_0.3,lenient,B3,1,updated,8,2,0.8,0.7659668508287293,0.4937965991869646,0.018430029262362077,0.020917497642878993,0.020917497642878993,0.1860956539643236
threshold_sensitivity,7003,10,joint_dirichlet_0.3,lenient,B3,2,updated,8,2,0.8,0.7626519337016575,0.47893167832923617,0.013577183379548793,0.01620949966594444,0.01620949966594444,0.18898579130935478
threshold_sensitivity,7003,10,joint_dirichlet_0.3,lenient,B3,3,updated,8,2,0.8,0.7626519337016575,0.47893167832923617,0.013577183379548793,0.01620949966594444,0.01620949966594444,0.18898579130935478
threshold_sensitivity,7003,10,joint_dirichlet_0.3,lenient,B3,4,updated,8,2,0.8,0.7633149171270718,0.4815004265128474,0.014558537648439862,0.0193377582686556,0.0193377582686556,0.18800443704046377
threshold_sensitivity,7003,10,joint_dirichlet_0.3,lenient,B3,5,updated,7,3,0.7,0.7619889502762431,0.47484129424113963,0.011287356752136296,0.010995735328092511,0.010995735328092511,0.1899671455782459
threshold_sensitivity,7003,10,joint_dirichlet_0.3,submitted,B3,1,updated,8,2,0.8,0.7659668508287293,0.4937965991869646,0.018430029262362077,0.020917497642878993,0.020917497642878993,0.1860956539643236
threshold_sensitivity,7003,10,joint_dirichlet_0.3,submitted,B3,2,updated,8,2,0.8,0.7626519337016575,0.47893167832923617,0.013577183379548793,0.01620949966594444,0.01620949966594444,0.18898579130935478
threshold_sensitivity,7003,10,joint_dirichlet_0.3,submitted,B3,3,updated,7,3,0.7,0.761767955801105,0.4732135297603929,0.011314319482957327,0.015941006412617933,0.015941006412617933,0.18928594666816412
threshold_sensitivity,7003,10,joint_dirichlet_0.3,submitted,B3,4,updated,6,4,0.6,0.7580110497237569,0.4582271674166209,0.006761628958953365,0.005244984483587567,0.005244984483587567,0.1938386371921681
threshold_sensitivity,7003,10,joint_dirichlet_0.3,submitted,B3,5,updated,5,5,0.5,0.7569060773480663,0.4537413586327632,0.006134355510513682,0.007061996965401836,0.007061996965401836,0.1944659106406078
threshold_sensitivity,7003,10,joint_dirichlet_0.3,moderate,B3,1,updated,5,5,0.5,0.7591160220994475,0.46267712671897565,0.007388902407393047,0.003427972001773305,0.003427972001773305,0.19321136374372838
threshold_sensitivity,7003,10,joint_dirichlet_0.3,moderate,B3,2,updated,5,5,0.5,0.7577900552486188,0.4573328886426166,0.006434510869323009,0.004202231616017182,0.004202231616017182,0.19416575528179847
threshold_sensitivity,7003,10,joint_dirichlet_0.3,moderate,B3,3,updated,4,6,0.4,0.756243093922652,0.4510324691101789,0.0051530012416226125,0.003933738362690679,0.003933738362690679,0.19544726490949882
threshold_sensitivity,7003,10,joint_dirichlet_0.3,moderate,B3,4,updated,3,7,0.3,0.756243093922652,0.45021611546455714,0.0044987650623618996,0.0028909854951202907,0.0028909854951202907,0.19544726490949882
threshold_sensitivity,7003,10,joint_dirichlet_0.3,moderate,B3,5,updated,3,7,0.3,0.7560220994475139,0.4493080303403099,0.004171646972731543,0.0018482326275499061,0.0018482326275499061,0.1957743829991292
threshold_sensitivity,7003,10,joint_dirichlet_0.3,strict,B3,1,updated,2,8,0.2,0.7518232044198895,0.4317697045749272,0.0009813542688910696,0.0031282586027111575,0.0031282586027111575,0.1989646757029696
threshold_sensitivity,7003,10,joint_dirichlet_0.3,strict,B3,2,updated,2,8,0.2,0.7518232044198895,0.4317697045749272,0.0009813542688910696,0.0031282586027111575,0.0031282586027111575,0.1989646757029696
threshold_sensitivity,7003,10,joint_dirichlet_0.3,strict,B3,3,updated,2,8,0.2,0.7518232044198895,0.4317697045749272,0.0009813542688910696,0.0031282586027111575,0.0031282586027111575,0.1989646757029696
threshold_sensitivity,7003,10,joint_dirichlet_0.3,strict,B3,4,updated,2,8,0.2,0.7518232044198895,0.4317697045749272,0.0009813542688910696,0.0031282586027111575,0.0031282586027111575,0.1989646757029696
threshold_sensitivity,7003,10,joint_dirichlet_0.3,strict,B3,5,updated,2,8,0.2,0.7518232044198895,0.4317697045749272,0.0009813542688910696,0.0031282586027111575,0.0031282586027111575,0.1989646757029696
threshold_sensitivity,7004,10,joint_dirichlet_0.3,lenient,B3,1,updated,5,5,0.5,0.7748066298342542,0.5506401828478497,0.03817209620302357,0.042103488539084494,0.042103488539084494,0.17099429637968522
threshold_sensitivity,7004,10,joint_dirichlet_0.3,lenient,B3,2,updated,5,5,0.5,0.7761325966850828,0.5571397944891749,0.040735115458424356,0.04550024039512217,0.04550024039512217,0.16903158784190309
threshold_sensitivity,7004,10,joint_dirichlet_0.3,lenient,B3,3,updated,4,6,0.4,0.7622099447513813,0.47796134625908576,0.012568866379836688,0.008135969978707865,0.008135969978707865,0.19064834448832757
threshold_sensitivity,7004,10,joint_dirichlet_0.3,lenient,B3,4,updated,4,6,0.4,0.7584530386740331,0.4600114268507409,0.006407548138501978,0.00029971339906214797,0.00047664442326024784,0.1941927180126194
threshold_sensitivity,7004,10,joint_dirichlet_0.3,lenient,B3,5,updated,3,7,0.3,0.7571270718232044,0.45464141094286753,0.006461473600144038,0.00810474983297222,0.00810474983297222,0.19413879255097743
threshold_sensitivity,7004,10,joint_dirichlet_0.3,submitted,B3,1,updated,5,5,0.5,0.7748066298342542,0.5506401828478497,0.03817209620302357,0.042103488539084494,0.042103488539084494,0.17099429637968522
threshold_sensitivity,7004,10,joint_dirichlet_0.3,submitted,B3,2,updated,5,5,0.5,0.7761325966850828,0.5571397944891749,0.040735115458424356,0.04550024039512217,0.04550024039512217,0.16903158784190309
threshold_sensitivity,7004,10,joint_dirichlet_0.3,submitted,B3,3,updated,4,6,0.4,0.7622099447513813,0.47796134625908576,0.012568866379836688,0.008135969978707865,0.008135969978707865,0.19064834448832757
threshold_sensitivity,7004,10,joint_dirichlet_0.3,submitted,B3,4,updated,4,6,0.4,0.7584530386740331,0.4600114268507409,0.006407548138501978,0.00029971339906214797,0.00047664442326024784,0.1941927180126194
threshold_sensitivity,7004,10,joint_dirichlet_0.3,submitted,B3,5,updated,3,7,0.3,0.7571270718232044,0.45464141094286753,0.006461473600144038,0.00810474983297222,0.00810474983297222,0.19413879255097743
threshold_sensitivity,7004,10,joint_dirichlet_0.3,moderate,B3,1,updated,5,5,0.5,0.7748066298342542,0.5506401828478497,0.03817209620302357,0.042103488539084494,0.042103488539084494,0.17099429637968522
threshold_sensitivity,7004,10,joint_dirichlet_0.3,moderate,B3,2,updated,5,5,0.5,0.7761325966850828,0.5571397944891749,0.040735115458424356,0.04550024039512217,0.04550024039512217,0.16903158784190309
threshold_sensitivity,7004,10,joint_dirichlet_0.3,moderate,B3,3,updated,3,7,0.3,0.7602209944751381,0.46786683602294266,0.008670412035093443,0.0026537123875294277,0.0026537123875294277,0.19258409029528867
threshold_sensitivity,7004,10,joint_dirichlet_0.3,moderate,B3,4,updated,3,7,0.3,0.7571270718232044,0.45464141094286753,0.006461473600144038,0.00810474983297222,0.00810474983297222,0.19413879255097743
threshold_sensitivity,7004,10,joint_dirichlet_0.3,moderate,B3,5,updated,3,7,0.3,0.75646408839779,0.4511227297743533,0.004825883151992256,0.003933738362690679,0.003933738362690679,0.19512014681986845
threshold_sensitivity,7004,10,joint_dirichlet_0.3,strict,B3,1,updated,1,9,0.1,0.7513812154696132,0.4298914765352991,0.00032711808963035657,0.0010427528675703858,0.0010427528675703858,0.19961891188223035
threshold_sensitivity,7004,10,joint_dirichlet_0.3,strict,B3,2,updated,1,9,0.1,0.7513812154696132,0.4298914765352991,0.00032711808963035657,0.0010427528675703858,0.0010427528675703858,0.19961891188223035
threshold_sensitivity,7004,10,joint_dirichlet_0.3,strict,B3,3,updated,1,9,0.1,0.7513812154696132,0.4298914765352991,0.00032711808963035657,0.0010427528675703858,0.0010427528675703858,0.19961891188223035
threshold_sensitivity,7004,10,joint_dirichlet_0.3,strict,B3,4,updated,1,9,0.1,0.7513812154696132,0.4298914765352991,0.00032711808963035657,0.0010427528675703858,0.0010427528675703858,0.19961891188223035
threshold_sensitivity,7004,10,joint_dirichlet_0.3,strict,B3,5,updated,1,9,0.1,0.7513812154696132,0.4298914765352991,0.00032711808963035657,0.0010427528675703858,0.0010427528675703858,0.19961891188223035
threshold_sensitivity,7005,10,joint_dirichlet_0.3,lenient,B3,1,updated,9,1,0.9,0.7661878453038674,0.4974409372774546,0.018349141069898985,0.02613126198073093,0.02613126198073093,0.18274358487555697
threshold_sensitivity,7005,10,joint_dirichlet_0.3,lenient,B3,2,updated,7,3,0.7,0.758232044198895,0.4591200122372274,0.0060804300488716215,0.00074303946850824,0.00074303946850824,0.19451983610224977
threshold_sensitivity,7005,10,joint_dirichlet_0.3,lenient,B3,3,updated,8,2,0.8,0.76,0.4662115953464283,0.008697374765914473,0.00759898347205485,0.00759898347205485,0.1919028913852069
threshold_sensitivity,7005,10,joint_dirichlet_0.3,lenient,B3,4,updated,6,4,0.6,0.7577900552486188,0.4573328886426166,0.006434510869323009,0.004202231616017182,0.004202231616017182,0.19416575528179847
threshold_sensitivity,7005,10,joint_dirichlet_0.3,lenient,B3,5,updated,6,4,0.6,0.7573480662983425,0.4555400141844842,0.0067885916897743965,0.009147502700542608,0.009147502700542608,0.19381167446134706
threshold_sensitivity,7005,10,joint_dirichlet_0.3,submitted,B3,1,updated,9,1,0.9,0.7661878453038674,0.4974409372774546,0.018349141069898985,0.02613126198073093,0.02613126198073093,0.18274358487555697
threshold_sensitivity,7005,10,joint_dirichlet_0.3,submitted,B3,2,updated,6,4,0.6,0.7575690607734806,0.4564371721559786,0.006107392779692652,0.003159478748446798,0.003159478748446798,0.19449287337142884
