scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,client_id,malicious_client,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",0.9885420149657875
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,2,False,605,152,True,True,0.9144736842105263,0.47766323024054985,0.0,0.0,0.0,0.6577464788732394,,0.8808749844320118
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,3,False,1432,358,True,False,0.9413407821229051,0.4848920863309353,,,,,"comparison_groups,subgroup_accuracy_gap",1.1269160022493452
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,4,True,1224,307,True,False,0.1758957654723127,0.15696872998816927,0.6391903531438415,0.024539877300613498,0.45688225538971805,0.2545650301464255,,1.3032919960096478
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,5,False,1093,274,False,False,,,,,,,,0.023333996068686247
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,6,False,8685,2172,True,True,0.7495395948434622,0.728847912054019,0.23913983869572325,,,0.17272438886058428,"equal_opportunity_gap,equalized_odds_gap",3.03166700177826
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,7,False,169,43,True,False,0.8837209302325582,0.873900293255132,0.7222222222222222,,,0.2777777777777778,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.6919579755049199
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.6838749977760017
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,9,False,3320,830,True,True,0.8337349397590361,0.46862996158770803,0.005012531328320802,0.014598540145985401,0.014598540145985401,0.3313853078171066,,1.7928750021383166
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,0,True,2882,721,True,False,0.03744798890429958,0.03609625668449198,0.0,0.0,0.0,0.07523822957808289,,1.5534170088358223
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",0.9210830030497164
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,2,False,605,152,True,True,0.9144736842105263,0.47766323024054985,0.0,0.0,0.0,0.6577464788732394,,0.9055419941432774
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,3,False,1432,358,True,False,0.9413407821229051,0.4848920863309353,,,,,"comparison_groups,subgroup_accuracy_gap",1.0750420042313635
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,4,True,1224,307,True,False,0.38436482084690554,0.2776470588235294,0.18518518518518517,0.0,0.1865671641791045,0.7550818260120586,,1.0020420013461262
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,5,False,1093,274,False,False,,,,,,,,0.021332991309463978
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,6,False,8685,2172,True,True,0.7366482504604052,0.7003450032416412,0.20741730512270853,,,0.2276716621646303,"equal_opportunity_gap,equalized_odds_gap",3.2957080111373216
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,7,False,169,43,True,False,0.9302325581395349,0.9288472145615003,0.8644444444444445,,,0.02444444444444438,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.6615839956793934
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.6478749855887145
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,9,False,3320,830,True,True,0.8361445783132531,0.48933244060006154,0.010211142705952816,0.0364963503649635,0.0364963503649635,0.3215463252097761,,1.6371660167351365
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,0,True,2882,721,True,False,0.03744798890429958,0.03609625668449198,0.0,0.0,0.0,0.07523822957808289,,1.8367499869782478
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",1.124250004068017
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,2,False,605,152,True,True,0.9144736842105263,0.47766323024054985,0.0,0.0,0.0,0.6577464788732394,,0.9326250001322478
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,3,False,1432,358,True,False,0.9441340782122905,0.5310453235525282,,,,,"comparison_groups,subgroup_accuracy_gap",1.0924999951384962
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,4,True,1224,307,True,False,0.46579804560260585,0.31777777777777777,0.0,0.0,0.0,0.9402670111972438,,1.035499997669831
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,5,False,1093,274,False,False,,,,,,,,0.02174999099224806
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,6,False,8685,2172,True,True,0.7269797421731123,0.6835047728758816,0.18433675872609998,,,0.23756332490603393,"equal_opportunity_gap,equalized_odds_gap",3.00491601228714
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,7,False,169,43,True,False,0.8837209302325582,0.8834688346883468,0.8,,,0.19999999999999996,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.7883750076871365
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.8407920249737799
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,9,False,3320,830,True,True,0.8361445783132531,0.5016335540838852,0.010583302804575243,0.051094890510948905,0.051094890510948905,0.311893422651757,,1.6924170195125043
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,0,True,2882,721,True,False,0.056865464632454926,0.0565587524438492,0.005979248949909088,0.0,0.0046914193255657155,0.06925898062817379,,1.5635000017937273
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",0.9453330130781978
