execution_id,approved,client_id,proof_ms,round,verify_ms,witness_ms
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,4,262.88237498374656,1,215.3662089840509,56.93316599354148
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,1,257.29766697622836,2,217.69329096423462,58.77883400535211
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,2,258.62358300946653,2,215.9760000067763,61.44854205194861
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,3,255.85195800522342,2,217.43958297884092,57.25329200504348
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,4,274.30266700685024,2,218.22245797375217,52.08445800235495
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,1,262.4472909956239,3,215.85487498668954,59.0239170123823
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,2,256.72975002089515,3,218.46387500409037,60.80408301204443
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,3,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,4,263.2702909759246,3,221.50225000223145,59.10329200560227
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,1,260.39183302782476,1,219.07274995464832,65.16204198123887
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,2,257.67966703278944,1,220.10845801560208,57.14916600845754
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,3,258.4498330252245,1,218.02858298178762,58.47433302551508
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,4,261.7906670202501,1,216.6823330335319,57.46591603383422
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,1,263.36366700707003,2,218.69712497573346,57.64654098311439
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,2,259.4350419822149,2,214.97216599527746,57.5042919954285
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,3,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,4,259.42658400163054,2,215.37395799532533,57.279332948382944
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,1,254.36554197221994,3,215.17508302349597,43.08695800136775
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,2,260.56341698858887,3,213.7953750207089,58.69266699301079
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,False,3,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,True,4,259.5542920171283,3,215.61116696102545,57.84883297747001
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,1,325.8164169965312,1,243.02087497198954,40.73312500258908
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,2,284.20624998398125,1,281.2655420275405,39.80804199818522
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,3,296.54212499735877,1,237.0922080008313,41.75750003196299
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,4,277.48320798855275,1,235.0174579769373,56.92112498218194
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,1,292.01074998127297,2,228.4207500051707,34.092709014657885
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,2,269.9935419950634,2,223.85329200187698,56.41325004398823
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,3,274.3422079947777,2,231.22716700891033,63.63170902477577
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,4,365.8609159756452,2,295.8520830143243,39.01362500619143
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,1,300.86199997458607,3,231.7406249931082,53.92845900496468
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,2,306.11629196209833,3,227.5660409941338,50.86595902685076
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,3,271.4492499944754,3,233.6000830400735,41.45545797655359
seed_10002-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,True,4,266.5172090055421,3,223.32400002051145,42.04812500393018
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,1,261.27066696062684,1,216.80870896670967,60.6045420281589
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,2,256.96387502830476,1,216.46270796190947,60.38008403265849
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,3,263.9161669649184,1,222.83837501890957,35.19412502646446
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,4,271.87312504975125,1,215.9041669801809,58.11687500681728
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,1,258.34341696463525,2,216.70849999645725,35.05958296591416
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,2,257.1664999704808,2,214.222582988441,36.11391695449129
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,3,260.06100000813603,2,215.78758402029052,58.723207970615476
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,4,256.4815829973668,2,217.8859999985434,59.17037499602884
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,1,258.6489579989575,3,216.3869579671882,59.15500002447516
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,2,262.0849999948405,3,216.3567909738049,57.9537499579601
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,3,259.9039580090903,3,215.6708330148831,58.07816702872515
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,True,4,259.61087504401803,3,218.13533396925777,56.96766701294109
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,1,263.59137502731755,1,239.83833397505805,58.9515829924494
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,2,303.69883397361264,1,228.65208302391693,56.72520800726488
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,3,287.9402919788845,1,221.2446250487119,59.56741701811552
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,4,276.31237503373995,1,234.96129200793803,47.522875014692545
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,1,293.23225002735853,2,236.64437502156943,42.843707953579724
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,2,280.4615829954855,2,225.18916596891358,48.28549997182563
seed_10002-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B7,True,3,328.1683750101365,2,248.49370802985504,39.60479097440839
