suite,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
threshold,B3,demographic_parity_gap,10,0.03125718736928233,0.06624533741910997,0.0057961922691854,0.006208739417796311,0.07411390138744291,0.0042847447628752,0.2174893907915137,,,moderate,
threshold,B3,equal_opportunity_gap,10,0.01188866313160072,0.007866120925614888,0.009374798289322049,0.0075978064731348095,0.016737366556783692,0.0040002262015673,0.0277062646981037,,,moderate,
threshold,B3,equalized_odds_gap,10,0.02546640680913323,0.04619152419594484,0.009374798289322049,0.007688684095230822,0.05574210773046588,0.0040002262015673,0.1552302003472763,,,moderate,
threshold,B3,subgroup_accuracy_gap,10,0.1711903951461651,0.052140433557395775,0.1911691539618975,0.13751930766922243,0.19083563324804187,0.0245769841582351,0.1920892936925105,,,moderate,
threshold,B3,runtime_ms,10,71.70650019834284,3.086387097197311,72.7580204984406,69.76322849710414,73.45915439655073,66.19695900008082,75.59475000016391,,,moderate,
threshold,B3,accuracy,10,0.5006772908366534,0.268787851424066,0.500132802124834,0.34760956175298807,0.6538645418326693,0.2456839309428951,0.7576361221779548,,,strict,
threshold,B3,macro_f1,10,0.3165007580205921,0.12577275816358452,0.314175228571293,0.24440649612130505,0.3887092911230393,0.197228144989339,0.4441259006446719,,,strict,
threshold,B3,demographic_parity_gap,10,0.0007937581745371,0.001115150666580865,0.00019710259189905,0.00019710259189906998,0.0015048118928967398,0.0,0.0031150072762068,,,strict,
threshold,B3,equal_opportunity_gap,10,0.0017658573867663698,0.002238661883810723,0.0006363347120585,0.00057270124085267,0.003154483674930001,0.0,0.0061588517642865,,,strict,
threshold,B3,equalized_odds_gap,10,0.0017658573867663698,0.002238661883810723,0.0006363347120585,0.00057270124085267,0.00316350888897897,0.0,0.0061588517642865,,,strict,
threshold,B3,subgroup_accuracy_gap,10,0.19558028028084845,0.0011151506665809034,0.1961769358634865,0.19486922656248878,0.1961572256042966,0.1932590311791787,0.1963740384553856,,,strict,
threshold,B3,runtime_ms,10,71.12791249819566,3.02068766735156,71.24156248755753,69.28237878411892,72.86908098016283,65.49416700727306,75.8444580133073,,,strict,
threshold,B3,accuracy,10,0.7599933598937583,0.0019638581169575584,0.7595949535192563,0.7588512616201859,0.7611885790172643,0.7562416998671979,0.7638778220451528,,,submitted,
threshold,B3,macro_f1,10,0.4551151721585905,0.009051252140671658,0.45354737124242583,0.4498433207961688,0.4605046396004042,0.4382266584274308,0.4730672907624917,,,submitted,
threshold,B3,demographic_parity_gap,10,0.00626988239297947,0.002579570674850181,0.0057994117853669,0.004872135911885578,0.007880621683960967,0.0022538017421133,0.0121173361799339,,,submitted,
threshold,B3,equal_opportunity_gap,10,0.00681375099891407,0.00394655044421228,0.005750146659728251,0.0047798190501704444,0.00937953938277812,0.0033638914895087,0.0164544503730326,,,submitted,
threshold,B3,equalized_odds_gap,10,0.00681375099891407,0.00394655044421228,0.005750146659728251,0.004807126034829291,0.009393304262242965,0.0033638914895087,0.0164544503730326,,,submitted,
threshold,B3,subgroup_accuracy_gap,10,0.19108966902190155,0.0017670394024040309,0.19141231268558973,0.18998376130198116,0.19206104830535997,0.1870161385620389,0.1941202367132722,,,submitted,
threshold,B3,runtime_ms,10,71.10422920086421,3.331088605053054,72.04802100022789,69.14575374852575,73.08372641746246,65.94395800493658,76.8831669993233,,,submitted,
adversarial,B0,accuracy,5,0.7730677290836654,0.028394533770906314,0.7863213811420983,0.7508764940239043,0.7939442231075697,0.7330013280212483,0.801062416998672,,,,label_flip
adversarial,B0,macro_f1,5,0.5932672606494289,0.10313502179272206,0.6001250551853374,0.5036686953192804,0.6698363481490487,0.4299772899318698,0.7078223513291446,,,,label_flip
adversarial,B0,demographic_parity_gap,5,0.1324006191019291,0.18654352298469476,0.061267593527597,0.027785271148756063,0.3015925251539997,0.0,0.4618091462382682,,,,label_flip
adversarial,B0,equal_opportunity_gap,5,0.11305885639113673,0.12810891437265137,0.0777967738858287,0.03192275330719828,0.2311898830777807,0.0,0.3342259536595243,,,,label_flip
adversarial,B0,equalized_odds_gap,5,0.12045354642525355,0.144131733044307,0.0777967738858287,0.03111870955433148,0.25337395318013106,0.0,0.3711994038301083,,,,label_flip
adversarial,B0,subgroup_accuracy_gap,5,0.17398082504304568,0.028678410167955578,0.1621644022970215,0.15242159670711491,0.19750453194543366,0.1430048508781285,0.2113938938435449,,,,label_flip
